NIEODCZYTANE:
Abilify Maintena | 300 mg | 'Rp ¦ EU/1/13/882/001 ¦ 88101\n1 fiol.  proszku ¦ 2 strzykawki  jałowe ¦ 3 igły  do wstrzyknięć podskórnych + 1 łącznik fiolki ¦ 1 fiol. 2 ml rozp. ¦ 1 igła  do rekonstytucji\nRp ¦ EU/1/13/882/003 ¦ 88102\n3 fiol.  proszku ¦ 3 fiol. 2 ml rozp. ¦ 9 igieł  do wstrzyknięć podskórnych + 3 łączniki fiolki ¦ 6 strzykawek  jałowych ¦ 3 igły  do rekonstytucji\nRp ¦ EU/1/13/882/005 ¦ 118861\n1 amp.-strzyk.  ¦ 3 '
Matever | 250 mg | 'Rp ¦ EU/1/11/711/001 ¦ 89720\n20 tabl.\nRp ¦ EU/1/11/711/002 ¦ 89721\n30 tabl.\nRp ¦ EU/1/11/711/003 ¦ 89722\n50 tabl.\nRp ¦ EU/1/11/711/004 ¦ 89723\n60 tabl.\nRp ¦ EU/1/11/711/005 ¦ 89724\n100 tabl.\nRp ¦ EU/1/11/711/006 ¦ 89725\n200 tabl.'
Matever | 500 mg | 'Rp ¦ EU/1/11/711/007 ¦ 89726\n10 tabl.\nRp ¦ EU/1/11/711/008 ¦ 89727\n20 tabl.\nRp ¦ EU/1/11/711/009 ¦ 89728\n30 tabl.\nRp ¦ EU/1/11/711/010 ¦ 89729\n50 tabl.\nRp ¦ EU/1/11/711/011 ¦ 89730\n60 tabl.\nRp ¦ EU/1/11/711/012 ¦ 89731\n100 tabl.\nRp ¦ EU/1/11/711/013 ¦ 89732\n120 tabl.\nRp ¦ EU/1/11/711/014 ¦ 89733\n200 tabl.'
Matever | 750 mg | 'Rp ¦ EU/1/11/711/015 ¦ 89734\n20 tabl.\nRp ¦ EU/1/11/711/016 ¦ 89735\n30 tabl.\nRp ¦ EU/1/11/711/017 ¦ 89736\n50 tabl.\nRp ¦ EU/1/11/711/018 ¦ 89737\n60 tabl.\nRp ¦ EU/1/11/711/019 ¦ 89738\n80 tabl.\nRp ¦ EU/1/11/711/020 ¦ 89739\n100 tabl.\nRp ¦ EU/1/11/711/021 ¦ 89740\n120 tabl.\nRp ¦ EU/1/11/711/022 ¦ 89741\n200 tabl.'
Matever | 1000 mg | 'Rp ¦ EU/1/11/711/023 ¦ 89742\n10 tabl.\nRp ¦ EU/1/11/711/024 ¦ 89743\n20 tabl.\nRp ¦ EU/1/11/711/025 ¦ 89744\n30 tabl.\nRp ¦ EU/1/11/711/026 ¦ 89745\n50 tabl.\nRp ¦ EU/1/11/711/027 ¦ 89746\n60 tabl.\nRp ¦ EU/1/11/711/028 ¦ 89747\n100 tabl.\nRp ¦ EU/1/11/711/029 ¦ 89748\n200 tabl.'
Memantine LEK | 10 mg | 'Rpz ¦ EU/1/13/826/001 ¦ 89749\n30 tabl.\nRpz ¦ EU/1/13/826/002 ¦ 89750\n42 tabl.\nRpz ¦ EU/1/13/826/003 ¦ 89751\n50 tabl.\nRpz ¦ EU/1/13/826/004 ¦ 89752\n56 tabl.\nRpz ¦ EU/1/13/826/005 ¦ 89753\n98 tabl.\nRpz ¦ EU/1/13/826/006 ¦ 89754\n112 tabl.\nRpz ¦ EU/1/13/826/012 ¦ 89755\n28 tabl.\nRpz ¦ EU/1/13/826/013 ¦ 89756\n60 tabl.\nRpz ¦ EU/1/13/826/014 ¦ 89758\n100 tabl.'

ODCZYT ZAPASOWY (przyklady):
Exelon | 6 mg | '05909990781416 ¦ Rpz ¦ EU/1/98/066/010 ¦ 113\n28 kaps.\n05909990781423 ¦ Rpz ¦ EU/1/98/066/011 ¦ 117\n56 kaps.\n05909990781430 ¦ Rpz ¦ EU/1/98/066/012 ¦ 118\n112 kaps.\n05909990000968 ¦ Rpz ¦ Skasowane ¦ EU/1/98/066/017 ¦ 23775\n250 kaps.'
Exelon | 3 mg | '05909990781218 ¦ Rpz ¦ EU/1/98/066/004 ¦ 134\n28 kaps.\n05909990781225 ¦ Rpz ¦ EU/1/98/066/005 ¦ 269\n56 kaps.\n05909990781232 ¦ Rpz ¦ EU/1/98/066/006 ¦ 270\n112 kaps.\n05909990000944 ¦ Rpz ¦ Skasowane ¦ EU/1/98/066/015 ¦ 23773\n250 kaps.'
Lyrica | 25 mg | '05909990009176 ¦ Rp ¦ EU/1/04/279/001 ¦ 24340\n14 kaps.\n05909990009183 ¦ Rp ¦ EU/1/04/279/002 ¦ 24341\n21 kaps.\n05909990009190 ¦ Rp ¦ EU/1/04/279/003 ¦ 24342\n56 kaps.\n05909990009206 ¦ Rp ¦ EU/1/04/279/004 ¦ 24343\n84 kaps.\n05909990009220 ¦ Rp ¦ EU/1/04/279/005 ¦ 24344\n100 kaps.\nRp ¦ EU/1/04/279/026 ¦ 105134\n112 kaps.\nRp ¦ EU/1/04/279/036 ¦ 105135\n100 kaps.\nRp ¦ EU/1/04/279/046 ¦ 122663\n200 kaps.'
Rivastigmine Hexal | 3 mg | '05909990755943 ¦ Rpz ¦ EU/1/09/589/005 ¦ 54096\n28 kaps.\n05909990755950 ¦ Rpz ¦ EU/1/09/589/006 ¦ 55297\n56 kaps.\n05909990755967 ¦ Rpz ¦ EU/1/09/589/007 ¦ 55538\n112 kaps.\n05909990755974 ¦ Rpz ¦ EU/1/09/589/008 ¦ 55539\n250 kaps.'
Zyprexa | 5 mg | 'Rp ¦ Skasowane ¦ EU/1/96/022/000 ¦ 11819\n14 tabl.\n05909990743117 ¦ Rp ¦ EU/1/96/022/004 ¦ 11820\n28 tabl.\n05909990005345 ¦ Rp ¦ EU/1/96/022/020 ¦ 24132\n56 tabl.\n05909990080335 ¦ Rp ¦ EU/1/96/022/024 ¦ 38543\n35 tabl.\n05909990080342 ¦ Rp ¦ EU/1/96/022/030 ¦ 38544\n70 tabl.\n05909990893683 ¦ Rp ¦ EU/1/96/022/036 ¦ 68611\n98 tabl.'
Zyprexa | 10 mg | '05909990006953 ¦ Rp ¦ Skasowane ¦ EU/1/96/022/008 ¦ 11821\n7 tabl.\nRp ¦ Skasowane ¦ EU/1/96/022/000 ¦ 11822\n14 tabl.\n05909990743315 ¦ Rp ¦ EU/1/96/022/009 ¦ 11823\n28 tabl.\n05909990006960 ¦ Rp ¦ EU/1/96/022/010 ¦ 11824\n56 tabl.\n05909990080373 ¦ Rp ¦ EU/1/96/022/026 ¦ 38549\n35 tabl.\n05909990080380 ¦ Rp ¦ EU/1/96/022/032 ¦ 38550\n70 tabl.\n05909990893737 ¦ Rp ¦ EU/1/96/022/038 ¦ 68613\n98 tabl.'
Zalasta | 2,5 mg | '05909990069378 ¦ Rp ¦ EU/1/07/415/001 ¦ 37608\n14 tabl.\n05909990069385 ¦ Rp ¦ EU/1/07/415/002 ¦ 37609\n28 tabl.\n05909990069392 ¦ Rp ¦ EU/1/07/415/003 ¦ 37610\n35 tabl.\n05909990069408 ¦ Rp ¦ EU/1/07/415/004 ¦ 37611\n56 tabl.\n05909990069439 ¦ Rp ¦ EU/1/07/415/005 ¦ 37612\n70 tabl.\n05909991552848 ¦ Rp ¦ EU/1/07/415/057 ¦ 157642\n98 tabl.'
Invega | 3 mg | '05909990073634 ¦ Rp ¦ Skasowane ¦ EU/1/07/395/001 ¦ 37938\n28 tabl.\n05909990073641 ¦ Rp ¦ EU/1/07/395/057 ¦ 37939\n30 tabl. w butelce\n05909990073658 ¦ Rp ¦ Skasowane ¦ EU/1/07/395/002 ¦ 37942\n30 tabl. w blistrze\n05909990073665 ¦ Rp ¦ Skasowane ¦ EU/1/07/395/003 ¦ 37943\n49 tabl.\n05909990073672 ¦ Rp ¦ Skasowane ¦ EU/1/07/395/004 ¦ 37946\n56 tabl.\n05909990073689 ¦ Rp ¦ Skasowane ¦ EU/1/07/395/005 ¦ 3794'
Exelon | 1,5 mg | '05909990781119 ¦ Rpz ¦ EU/1/98/066/001 ¦ 12558\n28 kaps.\n05909990781126 ¦ Rpz ¦ EU/1/98/066/002 ¦ 12559\n56 kaps.\n05909990781133 ¦ Rpz ¦ EU/1/98/066/003 ¦ 12560\n112 kaps.\n05909990000906 ¦ Rpz ¦ Skasowane ¦ EU/1/98/066/014 ¦ 23772\n250 kaps.\n05907996010097 ¦ Rpz ¦ Skasowane ¦ EU/1/98/066/001 ¦ Forfarm Sp. z o.o. ¦ 130428\n28 kaps.'
Exelon | 4,5 mg | '05909990781317 ¦ Rpz ¦ EU/1/98/066/007 ¦ 12708\n28 kaps.\n05909990781324 ¦ Rpz ¦ EU/1/98/066/008 ¦ 12709\n56 kaps.\n05909990781331 ¦ Rpz ¦ EU/1/98/066/009 ¦ 12710\n112 kaps.\n05909990000951 ¦ Rpz ¦ Skasowane ¦ EU/1/98/066/016 ¦ 23774\n250 kaps.'
